TITLE = "PIV"
VARIABLES = "x", "y", "u", "v"
ZONE T="0", I=75, J=42
1.600000000000000000e+01 1.600000000000000000e+01 -9.509868621826171875e-01 1.633894157409667969e+01
3.200000000000000000e+01 1.600000000000000000e+01 -1.145266652107238770e+00 1.642753791809082031e+01
4.800000000000000000e+01 1.600000000000000000e+01 -1.398399233818054199e+00 1.651023101806640625e+01
6.400000000000000000e+01 1.600000000000000000e+01 -1.715216994285583496e+00 1.658856773376464844e+01
8.000000000000000000e+01 1.600000000000000000e+01 -2.132254362106323242e+00 1.667428016662597656e+01
9.600000000000000000e+01 1.600000000000000000e+01 -2.717171192169189453e+00 1.677667427062988281e+01
1.120000000000000000e+02 1.600000000000000000e+01 -3.571527719497680664e+00 1.693733596801757812e+01
1.280000000000000000e+02 1.600000000000000000e+01 -4.376102447509765625e+00 1.701224708557128906e+01
1.440000000000000000e+02 1.600000000000000000e+01 -5.088764667510986328e+00 1.733825492858886719e+01
1.600000000000000000e+02 1.600000000000000000e+01 -5.970336914062500000e+00 1.769232177734375000e+01
1.760000000000000000e+02 1.600000000000000000e+01 -7.108764648437500000e+00 1.797174835205078125e+01
1.920000000000000000e+02 1.600000000000000000e+01 -8.603544235229492188e+00 1.764088630676269531e+01
2.080000000000000000e+02 1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.240000000000000000e+02 1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+02 1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.560000000000000000e+02 1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.720000000000000000e+02 1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.880000000000000000e+02 1.600000000000000000e+01 4.419024467468261719e+00 1.827356719970703125e+01
3.040000000000000000e+02 1.600000000000000000e+01 4.169933319091796875e+00 1.750649070739746094e+01
3.200000000000000000e+02 1.600000000000000000e+01 3.783708572387695312e+00 1.700293731689453125e+01
3.360000000000000000e+02 1.600000000000000000e+01 3.408213376998901367e+00 1.669032096862792969e+01
3.520000000000000000e+02 1.600000000000000000e+01 3.377496719360351562e+00 1.606865119934082031e+01
3.680000000000000000e+02 1.600000000000000000e+01 2.629663944244384766e+00 1.631154441833496094e+01
3.840000000000000000e+02 1.600000000000000000e+01 2.212656736373901367e+00 1.624180221557617188e+01
4.000000000000000000e+02 1.600000000000000000e+01 1.860357284545898438e+00 1.619356918334960938e+01
4.160000000000000000e+02 1.600000000000000000e+01 1.563919782638549805e+00 1.619725036621093750e+01
4.320000000000000000e+02 1.600000000000000000e+01 1.307932734489440918e+00 1.620947456359863281e+01
4.480000000000000000e+02 1.600000000000000000e+01 1.064572930335998535e+00 1.617653465270996094e+01
4.640000000000000000e+02 1.600000000000000000e+01 8.676548004150390625e-01 1.614056587219238281e+01
4.800000000000000000e+02 1.600000000000000000e+01 7.413202524185180664e-01 1.613014221191406250e+01
4.960000000000000000e+02 1.600000000000000000e+01 6.310604214668273926e-01 1.613791847229003906e+01
5.120000000000000000e+02 1.600000000000000000e+01 5.427265167236328125e-01 1.612272834777832031e+01
5.280000000000000000e+02 1.600000000000000000e+01 4.996631443500518799e-01 1.607220458984375000e+01
5.440000000000000000e+02 1.600000000000000000e+01 4.917701780796051025e-01 1.602277374267578125e+01
5.600000000000000000e+02 1.600000000000000000e+01 4.964053332805633545e-01 1.600675392150878906e+01
5.760000000000000000e+02 1.600000000000000000e+01 4.901806712150573730e-01 1.598555088043212891e+01
5.920000000000000000e+02 1.600000000000000000e+01 4.504103660583496094e-01 1.597122097015380859e+01
6.080000000000000000e+02 1.600000000000000000e+01 3.969646692276000977e-01 1.600269699096679688e+01
6.240000000000000000e+02 1.600000000000000000e+01 3.467025160789489746e-01 1.601703834533691406e+01
6.400000000000000000e+02 1.600000000000000000e+01 2.829514145851135254e-01 1.599215126037597656e+01
6.560000000000000000e+02 1.600000000000000000e+01 2.102922201156616211e-01 1.596911907196044922e+01
6.720000000000000000e+02 1.600000000000000000e+01 1.783218085765838623e-01 1.593116283416748047e+01
1.600000000000000000e+01 3.200000000000000000e+01 -8.616638183593750000e-01 1.636407279968261719e+01
3.200000000000000000e+01 3.200000000000000000e+01 -8.513202667236328125e-01 1.646193122863769531e+01
4.800000000000000000e+01 3.200000000000000000e+01 -9.834747314453125000e-01 1.647810935974121094e+01
6.400000000000000000e+01 3.200000000000000000e+01 -1.111368179321289062e+00 1.655536079406738281e+01
8.000000000000000000e+01 3.200000000000000000e+01 -1.404434204101562500e+00 1.666013908386230469e+01
9.600000000000000000e+01 3.200000000000000000e+01 -1.771955490112304688e+00 1.678692436218261719e+01
1.120000000000000000e+02 3.200000000000000000e+01 -2.265182495117187500e+00 1.690177726745605469e+01
1.280000000000000000e+02 3.200000000000000000e+01 -2.830823898315429688e+00 1.692983627319335938e+01
1.440000000000000000e+02 3.200000000000000000e+01 -3.693031311035156250e+00 1.688699150085449219e+01
1.600000000000000000e+02 3.200000000000000000e+01 -5.421903610229492188e+00 1.712118530273437500e+01
1.760000000000000000e+02 3.200000000000000000e+01 -7.060722351074218750e+00 1.682679557800292969e+01
1.920000000000000000e+02 3.200000000000000000e+01 -7.486265659332275391e+00 1.841890335083007812e+01
2.080000000000000000e+02 3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.240000000000000000e+02 3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
